"_golden","jobname","morepc_gold","morepc_gold_reason","rownum","s0_coordinates","s0_hash","s0_iteration","s0_mix","s0_name","s0_simple.grainlength","s0_simple.maxdist","s1_coordinates","s1_hash","s1_iteration","s1_mix","s1_name","s1_simple.grainlength","s1_simple.maxdist"
"","tune-simple-study-1-rank-iterations","","","0","0.00_0.00_1.00","9e8baaeacd7c51d3021c701b0c97d4d9","00","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3","0.50_1.00","15","0.00_0.00_1.00","0f5e559ff50799b683b3069d7dbdf23b","01","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3","0.50_1.00","15"
"","tune-simple-study-1-rank-iterations","","","1","0.00_0.00_1.00","4065161816f3f7e6dd29042c08483d0b","02","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3","0.50_1.00","15","0.00_0.00_1.00","9e8baaeacd7c51d3021c701b0c97d4d9","00","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3","0.50_1.00","15"
"","tune-simple-study-1-rank-iterations","","","2","0.00_0.00_1.00","bf5528943917fd12d5732b33bcae57dc","03","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3","0.50_1.00","15","0.00_0.00_1.00","9e8baaeacd7c51d3021c701b0c97d4d9","00","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3","0.50_1.00","15"
"","tune-simple-study-1-rank-iterations","","","3","0.00_0.00_1.00","9e8baaeacd7c51d3021c701b0c97d4d9","00","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3","0.50_1.00","15","0.00_0.00_1.00","ef7bcc9362c41758b98ca29543ee9599","04","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3","0.50_1.00","15"
"","tune-simple-study-1-rank-iterations","","","4","0.00_0.00_1.00","0f5e559ff50799b683b3069d7dbdf23b","01","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3","0.50_1.00","15","0.00_0.00_1.00","4065161816f3f7e6dd29042c08483d0b","02","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3","0.50_1.00","15"
"","tune-simple-study-1-rank-iterations","","","5","0.00_0.00_1.00","bf5528943917fd12d5732b33bcae57dc","03","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3","0.50_1.00","15","0.00_0.00_1.00","0f5e559ff50799b683b3069d7dbdf23b","01","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3","0.50_1.00","15"
"","tune-simple-study-1-rank-iterations","","","6","0.00_0.00_1.00","ef7bcc9362c41758b98ca29543ee9599","04","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3","0.50_1.00","15","0.00_0.00_1.00","0f5e559ff50799b683b3069d7dbdf23b","01","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3","0.50_1.00","15"
"","tune-simple-study-1-rank-iterations","","","7","0.00_0.00_1.00","4065161816f3f7e6dd29042c08483d0b","02","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3","0.50_1.00","15","0.00_0.00_1.00","bf5528943917fd12d5732b33bcae57dc","03","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3","0.50_1.00","15"
"","tune-simple-study-1-rank-iterations","","","8","0.00_0.00_1.00","ef7bcc9362c41758b98ca29543ee9599","04","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3","0.50_1.00","15","0.00_0.00_1.00","4065161816f3f7e6dd29042c08483d0b","02","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-02-simple.maxdist-15.mp3","0.50_1.00","15"
"","tune-simple-study-1-rank-iterations","","","9","0.00_0.00_1.00","ef7bcc9362c41758b98ca29543ee9599","04","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-04-simple.maxdist-15.mp3","0.50_1.00","15","0.00_0.00_1.00","bf5528943917fd12d5732b33bcae57dc","03","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-03-simple.maxdist-15.mp3","0.50_1.00","15"
"","tune-simple-study-1-rank-iterations","","","10","0.00_0.00_1.00","efbf1a3f1b2d0abd794438ea171ba9e1","00","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3","1.00_2.00","15","0.00_0.00_1.00","d5d28b0cf5edb6a2313f40e48cee0daf","01","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-01-simple.maxdist-15.mp3","1.00_2.00","15"
"","tune-simple-study-1-rank-iterations","","","11","0.00_0.00_1.00","304ccffb76309f712e4e1f4f57d6ed26","02","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-02-simple.maxdist-15.mp3","1.00_2.00","15","0.00_0.00_1.00","efbf1a3f1b2d0abd794438ea171ba9e1","00","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3","1.00_2.00","15"
"","tune-simple-study-1-rank-iterations","","","12","0.00_0.00_1.00","85de18c878867977e8208e63c2fd1df5","03","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-03-simple.maxdist-15.mp3","1.00_2.00","15","0.00_0.00_1.00","efbf1a3f1b2d0abd794438ea171ba9e1","00","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3","1.00_2.00","15"
"","tune-simple-study-1-rank-iterations","","","13","0.00_0.00_1.00","e85d4cf246c0e2c776d85b22ed74bc0b","04","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-04-simple.maxdist-15.mp3","1.00_2.00","15","0.00_0.00_1.00","efbf1a3f1b2d0abd794438ea171ba9e1","00","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-00-simple.maxdist-15.mp3","1.00_2.00","15"
"","tune-simple-study-1-rank-iterations","","","14","0.00_0.00_1.00","d5d28b0cf5edb6a2313f40e48cee0daf","01","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-01-simple.maxdist-15.mp3","1.00_2.00","15","0.00_0.00_1.00","304ccffb76309f712e4e1f4f57d6ed26","02","simple","mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-1.00_2.00-iteration-02-simple.maxdist-15.mp3","1.00_2.00","15"
