_id,_pct_missed,_judgments,_gold_case,_difficulty,_hidden,_contention,_pct_contested,_which_sound_was_more_realistic,morepc_gold,morepc_gold_reason,rownum,s0_simplegrainlength,s0_coordinates,s1_simplemaxdist,s0_name,s0_simplemaxdist,s0_mix,s1_name,s1_simplegrainlength,s1_hash,s1_iteration,s1_mix,s0_hash,s1_coordinates,s0_iteration,_golden,jobname
279849511,0.00,2,,0,false,"",0.0,"s0
same
null
s1",s0,Sound 2 is obviously a series of synthesized tones.,900,0.50_1.00,0.00_0.00_1.00,None,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,15,simple,mp3/mix-tones-iteration-01.mp3,None,0881e99d24a3cb576f8e194c4314ea77,01,tones,9e8baaeacd7c51d3021c701b0c97d4d9,None,00,True,tune-simple-study-1-rank-iterations
279849512,0.00,1,,0,false,"",0.0,"same
s0
null
s1","same
null",Sounds are the same.,901,0.50_1.00,0.00_0.00_1.00,15,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,15,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-15.mp3,0.50_1.00,9e8baaeacd7c51d3021c701b0c97d4d9,00,simple,9e8baaeacd7c51d3021c701b0c97d4d9,0.00_0.00_1.00,00,True,tune-simple-study-1-rank-iterations
279849513,0.57,7,,0,false,"",0.0,"s1
s0
null
same",s1,Sound 1 is obviously a series of synthesized tones.,902,None,None,30,mp3/mix-tones-iteration-03.mp3,None,tones,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-30.mp3,0.50_1.00,341851ad6767ec28f4bd0849f2c15137,00,simple,d6586c064366081bc03656b73da40eb4,0.00_0.00_1.00,03,True,tune-simple-study-1-rank-iterations
279849514,0.33,3,,0,false,"",0.0,"same
s0
null
s1","same
null",Sounds are the same.,903,0.50_1.00,0.00_0.00_1.00,30,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-30.mp3,30,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-30.mp3,0.50_1.00,341851ad6767ec28f4bd0849f2c15137,00,simple,341851ad6767ec28f4bd0849f2c15137,0.00_0.00_1.00,00,True,tune-simple-study-1-rank-iterations
279849515,0.20,5,,0,false,"",0.0,"s0
same
null
s1",s0,Sound 2 is obviously a series of synthesized tones.,904,0.50_1.00,0.00_0.00_1.00,None,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-5.mp3,5,simple,mp3/mix-tones-iteration-04.mp3,None,dcddb696d2dbff2d47c4ab016491afef,04,tones,2679c2f5014ff5de376c12cdc203b02d,None,00,True,tune-simple-study-1-rank-iterations
279849517,0.00,5,,0,false,"",0.0,"same
s0
null
s1","same
null",Sounds are the same.,905,0.50_1.00,0.00_0.00_1.00,5,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-5.mp3,5,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-00-simple.maxdist-5.mp3,0.50_1.00,2679c2f5014ff5de376c12cdc203b02d,00,simple,2679c2f5014ff5de376c12cdc203b02d,0.00_0.00_1.00,00,True,tune-simple-study-1-rank-iterations
279849518,0.00,0,,0,false,"",0,"",s1,Sound 1 is obviously a series of synthesized tones.,906,None,None,15,mp3/mix-tones-iteration-04.mp3,None,tones,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,0f5e559ff50799b683b3069d7dbdf23b,01,simple,dcddb696d2dbff2d47c4ab016491afef,0.00_0.00_1.00,04,True,tune-simple-study-1-rank-iterations
279849519,0.00,1,,0,false,"",0.0,"same
s0
null
s1","same
null",Sounds are the same.,907,0.50_1.00,0.00_0.00_1.00,15,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,15,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-15.mp3,0.50_1.00,0f5e559ff50799b683b3069d7dbdf23b,01,simple,0f5e559ff50799b683b3069d7dbdf23b,0.00_0.00_1.00,01,True,tune-simple-study-1-rank-iterations
279849520,0.00,3,,0,false,"",0.0,"s0
same
null
s1",s0,Sound 2 is obviously a series of synthesized tones.,908,0.50_1.00,0.00_0.00_1.00,None,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-30.mp3,30,simple,mp3/mix-tones-iteration-00.mp3,None,0b1f9635282b5445671290fe7205e2ac,00,tones,be382adde821a8a24bb5b4e83e3e99bc,None,01,True,tune-simple-study-1-rank-iterations
279849521,0.00,2,,0,false,"",0.0,"same
s0
null
s1","same
null",Sounds are the same.,909,0.50_1.00,0.00_0.00_1.00,30,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-30.mp3,30,simple,mp3/mix-simple-coordinates-0.00_0.00_1.00-simple.grainlength-0.50_1.00-iteration-01-simple.maxdist-30.mp3,0.50_1.00,be382adde821a8a24bb5b4e83e3e99bc,01,simple,be382adde821a8a24bb5b4e83e3e99bc,0.00_0.00_1.00,01,True,tune-simple-study-1-rank-iterations
