worker_id,external_id,judgments_count,missed_count,golds_count,agreement,forgiven_count,feedback_count,frontload_count,frontload_missed,channel,country,region,city,last_ip,flagged_at,rejected_at,approved_at,bonus,flag_reason,trust_overall,submission_rate
216,A38KIO2400LOTJ,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
2301,A39APWH62XBLR9,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
35865,ANUXUJE8QRE0C,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
39849,A1XTFB1MO37BI3,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
58526,A1ZQ7A1CUV6RD8,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
129409,A1DX8T0U3UTD0R,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
148825,A1T79J0XQXDDGC,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
173041,A2BM4OQ4QLFF8I,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
344949,A37P04C2DUCI92,5,3,4,,0,0,0,0,amt,USA,PA,Pittsburgh,72.95.211.178,,,,0,,0.25,300
348235,A1I5P0F9UWHPUE,70,2,17,,0,0,0,0,amt,USA,MD,Salisbury,71.200.185.70,,,,0,,0.8824,279
359238,A9SJWZNSSTMT6,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
471463,A1MHGD46DB5Z7H,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
542660,AUQO2Y7UTOH90,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
625470,A2M5IB358XWASL,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
714020,A1MXUKWHT9KEBJ,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
719319,A3E8SXH0BAYG85,0,0,0,,0,0,0,0,amt,,,,,,,,0,,1.0,0
